time_unity	object	position	
8.717876	MixamoFemale01	(0.36, 0.22, -1.88)	
8.733661	MixamoFemale01	(0.43, 0.19, -1.85)	
8.748856	MixamoFemale01	(0.45, 0.16, -1.87)	
8.76259	Floor	(0.99, -0.36, -3.10)	
8.775679	Floor	(0.97, -0.36, -3.06)	
8.789988	Floor	(0.83, -0.36, -2.99)	
8.805149	Female02	(0.35, 0.28, -0.91)	
9.937477	Floor	(-0.95, -0.36, 0.14)	
9.950621	Floor	(-1.29, -0.36, 0.06)	
9.967736	Female03	(-0.49, 0.84, -0.80)	
9.981536	Floor	(-0.36, -0.36, -1.75)	
10.00706	Female03	(-0.42, 0.93, -0.82)	
10.02193	Female03	(-0.42, 0.93, -0.81)	
10.03401	Floor	(-0.51, -0.36, 0.28)	
10.0481	Female03	(-0.55, 0.93, -0.81)	
10.06243	Female03	(-0.57, 0.92, -0.81)	
10.07727	Floor	(-0.40, -0.36, -1.87)	
10.08919	Female03	(-0.47, 0.43, -0.80)	
10.10365	Female03	(-0.35, 0.72, -0.87)	
10.11934	Female03	(-0.65, 1.76, -0.86)	
10.13077	SmallSquare(Clone)	(2.10, 3.46, -11.93)	
10.14425	SmallSquare(Clone)	(2.21, 3.57, -11.93)	
10.15954	Floor	(0.01, -0.36, -2.25)	
10.17672	SmallSquare(Clone)	(0.73, 3.60, -11.93)	
10.19048	Floor	(-0.98, -0.36, -1.67)	
10.20398	Female03	(-0.44, 0.57, -0.81)	
10.21757	Floor	(1.33, -0.36, -8.34)	
10.2335	Female03	(-0.37, 1.83, -0.85)	
10.24589	Wall_Front	(2.83, 2.80, -14.46)	
10.25907	SmallSquare(Clone)	(2.20, 3.44, -11.93)	
10.27533	SmallSquare(Clone)	(2.19, 3.91, -11.93)	
10.28776	SmallSquare(Clone)	(2.45, 4.61, -11.93)	
10.30108	SmallSquare(Clone)	(2.34, 4.95, -11.93)	
10.31693	SmallSquare(Clone)	(2.36, 4.81, -11.93)	
10.3291	SmallSquare(Clone)	(2.38, 4.83, -11.93)	
10.34294	SmallSquare(Clone)	(2.33, 4.78, -11.93)	
10.3577	SmallSquare(Clone)	(2.35, 4.66, -11.93)	
10.37042	SmallSquare(Clone)	(2.28, 4.71, -11.93)	
10.38873	SmallSquare(Clone)	(2.33, 4.71, -11.93)	
10.40212	SmallSquare(Clone)	(1.82, 4.54, -11.93)	
10.41767	SmallSquare(Clone)	(0.73, 4.29, -11.93)	
10.43413	SmallSquare(Clone)	(0.72, 4.37, -11.93)	
10.45097	SmallSquare(Clone)	(0.66, 4.40, -11.93)	
10.46625	SmallSquare(Clone)	(0.84, 4.23, -11.93)	
10.47877	SmallSquare(Clone)	(0.74, 4.21, -11.93)	
10.49237	SmallSquare(Clone)	(0.70, 4.24, -11.93)	
10.50792	SmallSquare(Clone)	(1.09, 4.30, -11.93)	
10.52147	SmallSquare(Clone)	(2.07, 4.53, -11.93)	
10.53676	SmallSquare(Clone)	(0.92, 4.20, -11.93)	
10.5509	SmallSquare(Clone)	(0.81, 3.66, -11.93)	
10.56341	Female03	(-0.48, 1.89, -0.82)	
10.57711	Female03	(-0.49, 1.44, -0.80)	
10.59057	Female03	(-0.51, 1.23, -0.80)	
10.60322	Female03	(-0.52, 0.89, -0.80)	
10.61733	Female03	(-0.58, 0.67, -0.82)	
10.63134	Female03	(-0.54, 0.69, -0.80)	
10.64335	Female03	(-0.53, 0.65, -0.80)	
10.65561	Female03	(-0.55, 0.65, -0.81)	
10.66847	Female03	(-0.44, 0.66, -0.81)	
10.68321	Female03	(-0.35, 0.63, -0.87)	
10.6974	Female03	(-0.32, 0.60, -0.92)	
10.71357	Female03	(-0.31, 0.62, -0.93)	
10.72699	Female03	(-0.31, 0.60, -0.94)	
10.73911	Floor	(0.42, -0.36, -4.28)	
10.75227	Floor	(0.41, -0.36, -4.28)	
10.76631	Floor	(0.48, -0.36, -4.46)	
10.778	Floor	(0.44, -0.36, -4.34)	
10.79155	Floor	(0.46, -0.36, -4.44)	
10.80368	Floor	(0.44, -0.36, -4.73)	
10.81581	Female03	(-0.42, 0.74, -0.82)	
10.82871	Female03	(-0.40, 0.69, -0.83)	
10.84075	Floor	(0.53, -0.36, -4.76)	
10.85338	Floor	(0.58, -0.36, -4.97)	
10.86532	Female03	(-0.40, 0.72, -0.83)	
10.87737	Female03	(-0.48, 0.75, -0.80)	
10.88972	Floor	(0.91, -0.36, -4.61)	
10.90319	Female03	(-0.36, 1.72, -0.86)	
10.91504	MixamoFemale01	(0.43, 1.44, -1.80)	
10.92722	Female03	(-0.41, 0.49, -0.82)	
10.93887	Female03	(-0.39, 0.48, -0.83)	
10.95174	Female03	(-0.45, 0.46, -0.81)	
10.96487	Female03	(-0.45, 0.42, -0.81)	
10.97753	Floor	(-0.12, -0.36, -2.51)	
10.98943	Female03	(-0.38, 0.31, -0.86)	
11.00418	Female03	(-0.58, 0.34, -0.82)	
11.01842	Female03	(-0.60, 0.37, -0.83)	
11.03024	Female03	(-0.59, 0.37, -0.82)	
11.04157	Floor	(0.16, -0.36, -2.49)	
11.05628	Floor	(0.24, -0.36, -2.49)	
11.06865	Floor	(0.23, -0.36, -2.38)	
11.08025	Floor	(0.28, -0.36, -2.51)	
11.09152	Floor	(0.24, -0.36, -2.62)	
11.10353	Floor	(0.08, -0.36, -2.61)	
11.11648	Female03	(-0.35, 0.33, -0.89)	
11.13049	Female03	(-0.36, 0.36, -0.86)	
11.14297	Female03	(-0.37, 0.36, -0.85)	
11.15656	Female03	(-0.34, 0.35, -0.89)	
11.16855	Floor	(0.03, -0.36, -2.76)	
11.18043	Floor	(0.10, -0.36, -2.80)	
11.1918	Floor	(0.46, -0.36, -2.91)	
11.20479	Floor	(0.70, -0.36, -2.99)	
11.21868	Floor	(0.98, -0.36, -3.20)	
11.23085	Floor	(0.82, -0.36, -3.06)	
11.2425	Floor	(0.81, -0.36, -3.18)	
11.25627	Floor	(0.80, -0.36, -3.10)	
11.26994	Floor	(0.85, -0.36, -2.98)	
11.28174	Floor	(0.86, -0.36, -3.02)	
11.29493	Floor	(0.84, -0.36, -2.94)	
11.30712	Floor	(0.87, -0.36, -2.97)	
11.32162	Floor	(0.86, -0.36, -2.97)	
11.3358	Floor	(0.88, -0.36, -2.90)	
11.34964	Floor	(0.88, -0.36, -2.88)	
11.36214	Floor	(0.92, -0.36, -2.97)	
11.37516	Female02	(0.31, 0.32, -1.03)	
11.38783	Female02	(0.30, 0.37, -0.97)	
11.40189	Female02	(0.32, 0.36, -0.92)	
11.41575	Female02	(0.32, 0.38, -0.92)	
11.43028	Female02	(0.32, 0.37, -0.92)	
11.44371	Female02	(0.30, 0.35, -0.97)	
11.45543	Female02	(0.30, 0.36, -1.02)	
11.46701	Floor	(0.63, -0.36, -2.82)	
11.47882	Floor	(0.57, -0.36, -2.75)	
11.49086	Floor	(0.54, -0.36, -2.60)	
11.50482	Floor	(0.61, -0.36, -2.62)	
11.51916	Floor	(0.57, -0.36, -2.56)	
11.53389	Floor	(0.45, -0.36, -2.58)	
11.54677	Floor	(0.42, -0.36, -2.63)	
11.56079	Floor	(0.44, -0.36, -2.68)	
11.57578	Floor	(0.39, -0.36, -2.71)	
11.5904	Floor	(0.42, -0.36, -2.85)	
11.60472	Floor	(0.38, -0.36, -2.64)	
11.61764	Floor	(0.41, -0.36, -2.64)	
11.63129	Floor	(0.42, -0.36, -2.74)	
11.6447	Floor	(0.39, -0.36, -2.73)	
11.65835	Floor	(0.34, -0.36, -2.78)	
11.67	Floor	(0.32, -0.36, -2.75)	
11.68199	Floor	(0.32, -0.36, -2.87)	
11.69375	Floor	(0.34, -0.36, -2.78)	
11.70795	Floor	(0.33, -0.36, -2.67)	
11.72072	Floor	(0.33, -0.36, -2.75)	
11.73476	Floor	(0.35, -0.36, -2.75)	
11.74845	Floor	(0.32, -0.36, -2.78)	
11.76065	Floor	(0.23, -0.36, -2.93)	
11.77605	Floor	(0.20, -0.36, -2.98)	
11.79421	Floor	(0.21, -0.36, -2.91)	
11.81064	Floor	(0.26, -0.36, -2.79)	
